SKU (Anonymized);jan.22;feb.22;mar.22;apr.22;mai.22;jun.22;jul.22;aug.22;sep.22;okt.22;nov.22;des.22;jan.23;feb.23;mar.23;apr.23;mai.23;jun.23;jul.23;aug.23;sep.23;okt.23;nov.23;des.23;jan.24;feb.24;mar.24;apr.24;mai.24;jun.24;jul.24;aug.24;sep.24;okt.24;nov.24;des.24;jan.25;feb.25;mar.25;apr.25;mai.25;jun.25;jul.25;aug.25;sep.25;okt.25;nov.25;des.25;SKU
753924164;496;528;1985;1600;1344;3072;768;1152;572;2116;39;1617;;3976;1549;2099;3136;2560;1856;582;1792;1280;1664;720;704;1216;2176;1728;2816;1408;1408;2176;1728;1536;1984;960;2240;1664;2304;2048;3350;1408;3136;4480;1511;2957;2170;198;148975478
595385278;1392;52;;;4832;6414;1262;1086;1136;1008;3066;4566;2814;2202;2394;2382;2616;2448;2136;2568;2670;2640;4008;2676;1848;2988;3396;2004;2976;1938;2622;2682;2598;3588;2178;2850;2898;2202;3096;1428;3390;1968;2688;2970;2262;3084;3276;1896;272777153
521068599;990;;;14661;6477;5497;4894;6332;3564;6806;1136;8140;6201;3743;10366;6815;;6914;12793;1408;151;;21340;;;;13893;6742;6893;13860;7271;6040;649;156;;13567;;7760;;20746;;;22233;9020;6130;9020;12890;3520;419224234
8096747;105;135;140;125;65;175;140;68;120;109;110;149;135;99;120;172;97;129;156;55;151;105;147;114;83;109;106;89;97;98;;;370;80;107;60;124;87;119;76;99;40;109;107;107;145;141;70;661242828
671987093;1424;3030;12604;5832;6480;6558;4332;4300;2670;5644;1958;5944;5064;4538;7828;9152;12700;9982;3504;2448;5904;3864;11760;3840;3360;11856;16368;6404;10297;4899;3120;4872;4392;5856;7368;4272;6504;7701;8223;9428;4272;260;960;120;240;1088;1012;560;557257413
472363665;216;1134;;216;486;324;702;756;1782;918;918;1134;432;216;810;594;810;1026;;648;1674;1080;1620;;;702;810;864;1242;918;756;1026;1134;1026;594;702;2538;270;;;;;;;;;;;360842984
42068863;7275;450;15320;9465;855;9705;10545;5760;1425;10320;5100;9735;1016;;19549;4241;;4140;2494;9090;4785;2715;11565;3750;480;3195;8790;570;6810;6495;4166;795;5130;4545;75;4230;7215;3540;;;;;;;;;;;108354383
483917528;750;810;2790;150;870;1740;4770;1080;3870;2970;750;5010;3330;1950;8010;1097;;;4453;3810;4650;960;3210;1440;;3240;2610;450;3000;4710;2880;780;5670;2070;1080;1200;870;2400;;;;;;;;;;;834373840
502251178;;507;1368;1584;1872;1020;1800;792;1020;2172;1224;4464;1512;1152;1080;1944;2016;2376;720;1224;1944;1152;4392;1800;648;739;1656;1800;2736;1296;1512;2016;2016;2520;2160;2592;3960;648;;;;;;;;;;;58843018
464538927;;960;228;528;228;360;294;216;216;474;216;792;666;288;;1008;216;438;162;288;372;504;810;12;228;288;294;324;234;216;72;216;306;396;288;288;294;432;;;;;;;;;;;473889727
955541028;400;2900;1100;407;3493;2000;2000;1400;1100;1924;1000;2900;1200;1700;2600;6700;1100;2100;2200;2200;1700;1500;4300;600;700;1800;3700;2400;2700;1400;2600;1100;2500;1710;2000;1816;3800;1200;;;;;;;;;;;142967599
839112800;3232;1404;3008;2052;2052;2228;2700;1944;1404;3348;1296;3456;3564;6588;1944;3348;3042;1944;1620;2672;3132;2268;5508;1620;2376;2700;3996;972;3456;1404;2592;2376;3672;3348;4104;3780;4752;2376;;;;;;;;;;;249071842
231147280;3750;;2535;6810;75;3840;7650;5580;780;2415;1710;13335;1260;885;11025;480;30;3315;420;6960;360;1080;6015;4350;1710;1905;1170;285;3420;5010;3195;2235;6675;2745;180;1245;4125;4350;;;;;;;;;;;306441674
86825323;;;108;282;324;1189;389;1608;756;1458;1296;540;559;540;704;330;648;378;810;2052;3564;1458;270;108;378;1026;540;1188;540;162;1566;1890;1998;1620;1350;648;1512;702;;;;;;;;;;;711238580
92498958;624;1224;1464;1416;864;2160;1656;;;;7180;2040;2040;2520;2928;2616;1656;5208;2136;716;;9364;5256;1128;1488;2952;4296;1968;3936;3240;456;10646;;8050;2016;;6528;4568;;;;;;;;;;;806393506
589288047;5;10;3;3;7;6;2;3;;4;3;9;2;;4;3;2;3;2;2;4;2;4;3;1;1;4;4;2;1;2;4;4;;6;10;;;;;9;3;3;5;4;3;;;502963592
35306040;54;24;34;20;16;1;;;;68;24;23;12;15;7;;;28;7;5;17;5;28;35;23;1;13;8;25;23;4;20;23;19;17;22;6;4;9;;24;14;18;7;23;1;27;15;424475530
582188628;540;315;810;;;270;1260;2235;315;405;;2070;600;60;690;180;780;645;255;;300;240;1035;;2655;840;1335;;900;570;105;300;405;120;;225;810;780;;;;;;;;;;;353383076
400337805;125;75;200;100;;275;175;275;425;475;550;525;;150;425;325;325;;150;1025;350;450;525;100;;550;325;75;300;200;225;500;875;750;200;350;250;425;;;;;;;;;;;767007995
253470269;684;1083;1413;744;846;1566;1408;1242;721;1637;936;1134;1152;1278;1530;936;1269;926;;375;2437;720;263;;;3187;2475;155;1021;1857;2451;1884;1125;1104;1008;1188;1530;1000;1014;864;785;;1771;1008;970;1476;1080;468;181305050
231259226;5360;20400;17040;10800;11200;9240;10200;5620;9950;10400;4800;7280;12240;11280;9120;15920;24800;21680;7440;5840;8110;7120;16240;6800;7680;22720;21200;16800;31200;7440;5648;10128;7632;3488;1812;4824;4944;11568;15552;8352;11056;;;448;448;384;384;;393714320
22764318;72;136;104;152;96;156;156;232;158;224;144;154;224;88;192;180;88;126;158;243;142;94;184;144;72;70;150;56;100;136;88;112;128;130;192;118;280;;120;40;134;40;112;96;126;56;438;85;981771604
